,mean,width,height,std deviation,type
0,85.80628902,64,64,56.28717509,1
1,147.9183418,64,50,66.06713746,1
2,51.72851967,60,34,36.3381049,1
3,46.87966919,64,20,27.20799165,1
4,55.10747402,17,10,39.41208523,1
5,54.3519122,12,6,35.22213679,1
6,45.5866134,64,8,32.891694,1
7,60.28935539,64,27,38.98575249,1
8,164.1209811,5,20,72.71526337,1
9,161.418145,22,48,74.24772756,1
10,34.234225,37,64,17.95874088,1
11,40.54337163,4,15,33.58412715,1
12,152.6679262,23,46,80.21982708,1
13,53.87740751,26,64,45.20683008,1
14,35.02687686,64,31,18.87739977,1
15,53.90260583,64,34,33.00997017,1
16,161.7669665,46,20,69.09695459,1
17,133.3952751,64,53,72.5864777,1
18,90.08050159,55,64,58.16217525,1
19,64.36780002,27,59,43.31310772,1
20,42.91273523,59,19,24.37983557,1
21,60.90746345,4,8,31.98686868,2
22,169.8857175,12,60,57.3897867,2
23,120.4919905,37,64,69.70754681,2
24,131.3365015,29,48,61.26614639,2
25,181.2396278,19,64,54.16464111,2
26,169.0836776,32,64,54.31484345,2
27,54.40658326,3,4,29.14357467,2
28,52,1,1,22.99275248,2
29,153.0036684,61,50,65.29212801,2
30,138.2163723,16,52,64.3595951,2
31,122.131726,26,61,68.4798162,2
32,34.73326057,17,15,27.15974984,2
33,133.8956668,17,21,69.78454576,2
34,48.48977405,13,37,26.21202774,2
35,66.86498314,21,56,46.50968003,2
36,120.6548804,25,44,68.95674328,2
37,175.7013262,64,20,64.41091184,2
38,164.622387,64,27,64.56907721,2
39,151.3435018,28,45,84.80859637,2
40,203.4138256,12,35,68.69230019,2
41,154.6723405,50,40,77.57709124,2
42,70.8548088,13,64,53.97400698,3
43,52.69332385,31,58,44.57565035,3
44,44.13988312,27,55,37.08593354,3
45,59.74407257,30,56,43.70091355,3
46,53.38748062,31,39,44.03332359,3
47,,37,56,47.0484262,3
48,49.02672901,40,11,40.7499741,3
49,58.62677865,64,64,53.80283264,3
50,69.26730338,15,19,54.22102059,3
51,32.35760315,64,22,26.06996952,3
52,88.62072029,64,28,75.77055112,3
53,48.60447721,41,13,41.62502502,3
54,56.59635968,24,44,43.74288209,3
55,74.68057818,56,11,51.14000518,3
56,48.01009483,12,5,37.44639044,3
57,75.87948662,12,61,65.3859229,3
58,56.54963098,20,51,42.95143727,3
59,57.08547394,21,50,43.20717837,3
60,53.56858583,32,64,45.84733924,3
61,47.6095987,7,11,38.97068387,3
62,60.49545087,11,17,46.31083401,3
63,47.60251572,11,42,37.17635866,3
